"","yie_react","SCREEN_ID","NOTEBOOK_ID","REACTION_ID","KeyWord_STD","ReactionGroup","RXN_SMILES","PCAT_CMPD_ID","PRODUCT_STRUCTURE","Product_Yield_PCT_Area_UV","Product_UV_Analysis_Wavelength_nm","Product_Yield_Mass_Ion_Count","Product_Selectivity","Solvent_1_Name","Reaction_T","Reaction_Time_hrs","Catalyst_1_eq","Catalyst_1_ID.1.","catalyst_1_ID_1_SMILES","Catalyst_1_ID.2.","catalyst_1_ID_2_SMILES","Catalyst_1_Short_Hand","Catalyst_2_eq","Catalyst_2_ID.1.","catalyst_2_ID_1_SMILES","Catalyst_2_ID.2.","catalyst_2_ID_2_SMILES","Catalyst_2_Short_Hand","Reactant_1_eq","Reactant_1_ID","Reactant_1_SMILES","Reactant_2_eq","Reactant_2_ID","reactant_2_SMILES","Reactant_3_eq","Reactant_3_ID","reactant_3_SMILES","Reagent_1_eq","Reagent_1_ID","Reagent_1_Short_Hand","Reagent_2_eq","Reagent_2_ID","Reagent_2_Short_Hand","ReactionClass","react_1_canon","react_2_canon","halide","nuc","catalyst","ligand"
"53","86__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769480","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",86,225,77598.6849885821,"","t-AmOH",110,18,0.125,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD04117682","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C","Pd(OAc)2",0.25,"MFCD04117682","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C",NA,NA,"Pd(OAc)2/XPhos",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00008261","LiHMDS",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","C(O[Pd]OC(C)=O)(C)=O","c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(cc(cc1C(C)C)C(C)C)C(C)C"
"54","86__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769481","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",86,225,33112.2158054364,"","t-AmOH",110,18,0.125,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD06798301","c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C","Pd(OAc)2",0.25,"MFCD06798301","c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C",NA,NA,"Pd(OAc)2/cataCXium POMetB",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00064808","KOtPn",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","C(O[Pd]OC(C)=O)(C)=O","c1(n(c2c(OC)cccc2)ccc1)P(C(C)(C)C)C(C)(C)C"
"55","86__PF-06672299__MFCD00006219__","SCRN_396","00119131-1252","RKB-03538352","BUCHWALD","Metal Mediated","[CH3:1][N:2]([C:32]([O:34][C:35]([CH3:38])([CH3:37])[CH3:36])=[O:33])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:20]3[c:19]([n:23]([CH2:24][O:25][CH2:26][CH2:27][Si:28]([CH3:31])([CH3:30])[CH3:29])[cH:22][cH:21]3)[n:18][c:10]([NH:11][c:12]4[cH:17][n:15]([CH3:16])[n:14][cH:13]4)[n:9]2)[CH2:4]1.Br[c:39]1[n:44][cH:43][cH:42][cH:41][cH:40]1>>[CH3:1][N:2]([C:32]([O:34][C:35]([CH3:38])([CH3:37])[CH3:36])=[O:33])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:20]3[c:19]([n:23]([CH2:24][O:25][CH2:26][CH2:27][Si:28]([CH3:31])([CH3:30])[CH3:29])[cH:22][cH:21]3)[n:18][c:10]([N:11]([c:39]4[n:44][cH:43][cH:42][cH:41][cH:40]4)[c:12]5[cH:17][n:15]([CH3:16])[n:14][cH:13]5)[n:9]2)[CH2:4]1","PF-06679977","CN([C@@H]1C[C@H](C1)Oc2nc(nc3c2ccn3COCC[Si](C)(C)C)N(c4cnn(C)c4)c5ccccn5)C(=O)OC(C)(C)C",86,310,18208991.4,"3.3","Toluene",90,18,0.125,"","","MFCD06800434","c1ccc2c(c1)c(ccc2)[Ni](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl","",0.25,"MFCD06800434","c1ccc2c(c1)c(ccc2)[Ni](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl",NA,NA,"ClNi(Nap)(PPh3)2",1,"PF-06672299","C1[C@@H](C[C@H]1Oc1nc(nc2c1ccn2COCC[Si](C)(C)C)Nc1cn(nc1)C)N(C)C(OC(C)(C)C)=O",2,"MFCD00006219","c1(ccccn1)Br",NA,NA,NA,3,"MFCD00008261","LiHMDS",NA,"","","Pd coupling","Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3ccn(COCC[Si](C)(C)C)c3n2)cn1","Brc1ccccn1","Brc1ccccn1","Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3ccn(COCC[Si](C)(C)C)c3n2)cn1","c1ccc2c(c1)c(ccc2)[Ni](P(c1ccccc1)(c1ccccc1)c1ccccc1)(P(c1ccccc1)(c1ccccc1)c1ccccc1)Cl",""
"56","86__PF-06672299__MFCD00006219__","SCRN_396","00119131-1252","RKB-03538353","BUCHWALD","Metal Mediated","Br[c:1]1[n:6][cH:5][cH:4][cH:3][cH:2]1.[CH3:7][N:8]([C:38]([O:40][C:41]([CH3:44])([CH3:43])[CH3:42])=[O:39])[C@H:9]1[CH2:12][C@H:11]([O:13][c:14]2[c:26]3[c:25]([n:29]([CH2:30][O:31][CH2:32][CH2:33][Si:34]([CH3:37])([CH3:36])[CH3:35])[cH:28][cH:27]3)[n:24][c:16]([NH:17][c:18]4[cH:23][n:21]([CH3:22])[n:20][cH:19]4)[n:15]2)[CH2:10]1>>[CH3:7][N:8]([C:38]([O:40][C:41]([CH3:44])([CH3:43])[CH3:42])=[O:39])[C@H:9]1[CH2:12][C@H:11]([O:13][c:14]2[c:26]3[c:25]([n:29]([CH2:30][O:31][CH2:32][CH2:33][Si:34]([CH3:37])([CH3:36])[CH3:35])[cH:28][cH:27]3)[n:24][c:16]([N:17]([c:1]4[n:6][cH:5][cH:4][cH:3][cH:2]4)[c:18]5[cH:23][n:21]([CH3:22])[n:20][cH:19]5)[n:15]2)[CH2:10]1","PF-06679977","CN([C@@H]1C[C@H](C1)Oc2nc(nc3c2ccn3COCC[Si](C)(C)C)N(c4cnn(C)c4)c5ccccn5)C(=O)OC(C)(C)C",86,310,20426232.7,"1.3","Toluene",90,18,0.125,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD08561149","c1(cc(P(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C2CCCC2[C@@H](C)P(C2CCCCC2)C2CCCCC2)cc(c1)C(F)(F)F)C(F)(F)F.C1CCCC1.[Fe]","Pd(OAc)2",0.25,"MFCD08561149","c1(cc(P(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C2CCCC2[C@@H](C)P(C2CCCCC2)C2CCCCC2)cc(c1)C(F)(F)F)C(F)(F)F.C1CCCC1.[Fe]",NA,NA,"R-Josiphos SL-J006-1",1,"PF-06672299","C1[C@@H](C[C@H]1Oc1nc(nc2c1ccn2COCC[Si](C)(C)C)Nc1cn(nc1)C)N(C)C(OC(C)(C)C)=O",2,"MFCD00006219","c1(ccccn1)Br",NA,NA,NA,3,"MFCD00008261","LiHMDS",NA,"","","Pd coupling","Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3ccn(COCC[Si](C)(C)C)c3n2)cn1","Brc1ccccn1","Brc1ccccn1","Cn1cc(Nc2nc(O[C@H]3C[C@H](N(C)C(=O)OC(C)(C)C)C3)c3ccn(COCC[Si](C)(C)C)c3n2)cn1","C(O[Pd]OC(C)=O)(C)=O","c1(cc(P(c2cc(cc(c2)C(F)(F)F)C(F)(F)F)C2CCCC2[C@@H](C)P(C2CCCCC2)C2CCCCC2)cc(c1)C(F)(F)F)C(F)(F)F.C1CCCC1.[Fe]"
"57","86__PF-06670192__MFCD05667135__","SCRN_346","00119131-1227","RKB-03542479","BUCHWALD","Metal Mediated","[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10](Cl)[n:9]2)[c:15]([c:16]4[n:21][cH:20][cH:19][cH:18][cH:17]4)[cH:14][nH:13]3)[CH2:4]1.[CH3:30][n:31]1[n:36][cH:35][c:33]([NH2:34])[cH:32]1>>[CH3:1][N:2]([C:23]([O:25][C:26]([CH3:29])([CH3:28])[CH3:27])=[O:24])[C@H:3]1[CH2:6][C@H:5]([O:7][c:8]2[c:22]([c:12]3[n:11][c:10]([NH:34][c:33]4[cH:32][n:31]([CH3:30])[n:36][cH:35]4)[n:9]2)[c:15]([c:16]5[n:21][cH:20][cH:19][cH:18][cH:17]5)[cH:14][nH:13]3)[CH2:4]1","PF-06671527","CN([C@@H]1C[C@H](C1)Oc2nc(Nc3cnn(C)c3)nc4[nH]cc(c5ccccn5)c24)C(=O)OC(C)(C)C",86,280,23987242,"","t-AmOH",110,18,NA,"","","MFCD12911909","c1cccc(c1CCN)[Pd]Cl.C(C)(C)(P(C(C)(C)C)c1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)C","",0.063,"MFCD12911909","c1cccc(c1CCN)[Pd]Cl.C(C)(C)(P(C(C)(C)C)c1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)C",NA,NA,"t-BuXPhos Palladacycle",1,"PF-06670192","n1c(nc2c(c1O[C@@H]1C[C@H](C1)N(C(OC(C)(C)C)=O)C)c(c[nH]2)c1ncccc1)Cl",2,"MFCD05667135","c1c(cn(C)n1)N",NA,NA,NA,NA,"MFCD00008261","LiHMDS",NA,"","","Pd coupling","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","CN(C(=O)OC(C)(C)C)[C@H]1C[C@H](Oc2nc(Cl)nc3[nH]cc(-c4ccccn4)c23)C1","Cn1cc(N)cn1","c1cccc(c1CCN)[Pd]Cl.C(C)(C)(P(C(C)(C)C)c1ccccc1c1c(cc(cc1C(C)C)C(C)C)C(C)C)C",""
"58","86__MFCD12024888__MFCD00005972__","SCRN_433","00119131-1503","RKB-03539080","BUCHWALD","Metal Mediated","[CH3:1][c:2]1[c:7]([Cl:8])[n:6][c:5](Cl)[cH:4][n:3]1.[CH2:9]1[NH:14][CH2:13][CH2:12][O:11][CH2:10]1>>[CH3:1][c:2]1[c:7]([Cl:8])[n:6][c:5]([N:14]2[CH2:9][CH2:10][O:11][CH2:12][CH2:13]2)[cH:4][n:3]1","PF-06746933","Cc1ncc(nc1Cl)N2CCOCC2",86,320,2566760,"1.12044283149784","THF",70,18,0.0625,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD05861606","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC","Pd(OAc)2",0.125,"MFCD05861606","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC",NA,NA,"cataCXium A",1,"MFCD12024888","c1c(nc(c(n1)C)Cl)Cl",1,"MFCD00005972","C1COCCN1",NA,NA,NA,2,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","Cc1ncc(Cl)nc1Cl","C1COCCN1","Cc1ncc(Cl)nc1Cl","C1COCCN1","C(O[Pd]OC(C)=O)(C)=O","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC"
"59","86__MFCD12024888__MFCD00005972__","SCRN_433","00119131-1503","RKB-03539081","BUCHWALD","Metal Mediated","[CH3:1][c:2]1[c:7]([Cl:8])[n:6][c:5](Cl)[cH:4][n:3]1.[CH2:9]1[NH:14][CH2:13][CH2:12][O:11][CH2:10]1>>[CH3:1][c:2]1[c:7]([Cl:8])[n:6][c:5]([N:14]2[CH2:9][CH2:10][O:11][CH2:12][CH2:13]2)[cH:4][n:3]1","PF-06746933","Cc1ncc(nc1Cl)N2CCOCC2",86,320,4095827.25,"0.993049942702263","THF",90,18,0.0625,"MFCD00012453","C(O[Pd]OC(C)=O)(C)=O","MFCD05861606","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC","Pd(OAc)2",0.125,"MFCD05861606","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC",NA,NA,"cataCXium A",1,"MFCD12024888","c1c(nc(c(n1)C)Cl)Cl",1,"MFCD00005972","C1COCCN1",NA,NA,NA,2,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","Cc1ncc(Cl)nc1Cl","C1COCCN1","Cc1ncc(Cl)nc1Cl","C1COCCN1","C(O[Pd]OC(C)=O)(C)=O","P([C@]12C[C@@H]3C[C@H](C2)C[C@@H](C1)C3)([C@]12C[C@@H]3C[C@@H](C2)C[C@@H](C1)C3)CCCC"
"60","86__MFCD00024023__MFCD00015000__","SCRN_9","00119131-2691","RKB-04002206","BUCHWALD","Metal Mediated","Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[CH3:11][C:12]([O:15][C:16]([NH:18][NH:19][C:20]([O:22][C:23]([CH3:26])([CH3:25])[CH3:24])=[O:21])=[O:17])([CH3:14])[CH3:13]>>[CH3:11][C:12]([O:15][C:16]([NH:18][N:19]([c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2)[C:20]([O:22][C:23]([CH3:26])([CH3:25])[CH3:24])=[O:21])=[O:17])([CH3:14])[CH3:13]","PF-07093980","CC(C)(C)OC(=O)NN(C(=O)OC(C)(C)C)c1ccc2ncccc2c1",86,280,1111.83699209327,"","Dioxane",110,NA,NA,"","","","","",0.0625,"MFCD25976528","c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C",NA,NA,"tBuBrettPhos  Pd G3",1,"MFCD00024023","c12c(ccc(c1)Br)nccc2",2,"MFCD00015000","C(OC(NNC(OC(C)(C)C)=O)=O)(C)(C)C",NA,NA,NA,NA,"MFCD00064245","NaOtPn",NA,"","","Pd coupling","Brc1ccc2ncccc2c1","CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C","Brc1ccc2ncccc2c1","CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C","c1c(c(ccc1)[Pd+])c1ccccc1N.[O-]S(C)(=O)=O.c1c(c(c(cc1C(C)C)C(C)C)c1c(ccc(c1P(C(C)(C)C)C(C)(C)C)OC)OC)C(C)C",""
"61","86__AXL022633__AXL032292__","SCRN_417","00119131-1032","RKB-03546208","BUCHWALD","Metal Mediated","[CH3:1][C:2]([O:5][C:6]([N:8]1[C:22]([CH3:24])([CH3:23])[c:21]([c:10]2[CH2:9]1)[n:13]([C:14]([O:16][C:17]([CH3:20])([CH3:19])[CH3:18])=[O:15])[n:12][c:11]2Br)=[O:7])([CH3:4])[CH3:3].[CH3:25][n:26]1[n:31][cH:30][c:28]([NH2:29])[cH:27]1>>[CH3:25][n:26]1[n:31][cH:30][c:28]([NH:29][c:11]2[c:10]3[c:21]([C:22]([CH3:24])([CH3:23])[N:8]([C:6]([O:5][C:2]([CH3:4])([CH3:3])[CH3:1])=[O:7])[CH2:9]3)[n:13]([C:14]([O:16][C:17]([CH3:20])([CH3:19])[CH3:18])=[O:15])[n:12]2)[cH:27]1","PF-06469764","Cn1cc(Nc2nn(C(=O)OC(C)(C)C)c3c2CN(C(=O)OC(C)(C)C)C3(C)C)cn1",86,225,139796.2,"1.1","Toluene",90,18,NA,"","","MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN","",0.1,"MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",NA,NA,"BrettPhos Palladacycle",1,"AXL022633","c12c(CN(C2(C)C)C(OC(C)(C)C)=O)c(nn1C(OC(C)(C)C)=O)Br",2,"AXL032292","c1c(cn(C)n1)N",NA,NA,NA,3,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","CC(C)(C)OC(=O)N1Cc2c(Br)nn(C(=O)OC(C)(C)C)c2C1(C)C","Cn1cc(N)cn1","CC(C)(C)OC(=O)N1Cc2c(Br)nn(C(=O)OC(C)(C)C)c2C1(C)C","Cn1cc(N)cn1","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",""
"62","86__AXL022633__AXL032292__","SCRN_417","00119131-1032","RKB-03546209","BUCHWALD","Metal Mediated","[CH3:1][C:2]([O:5][C:6]([N:8]1[C:22]([CH3:24])([CH3:23])[c:21]([c:10]2[CH2:9]1)[n:13]([C:14]([O:16][C:17]([CH3:20])([CH3:19])[CH3:18])=[O:15])[n:12][c:11]2Br)=[O:7])([CH3:4])[CH3:3].[CH3:25][n:26]1[n:31][cH:30][c:28]([NH2:29])[cH:27]1>>[CH3:25][n:26]1[n:31][cH:30][c:28]([NH:29][c:11]2[c:10]3[c:21]([C:22]([CH3:24])([CH3:23])[N:8]([C:6]([O:5][C:2]([CH3:4])([CH3:3])[CH3:1])=[O:7])[CH2:9]3)[n:13]([C:14]([O:16][C:17]([CH3:20])([CH3:19])[CH3:18])=[O:15])[n:12]2)[cH:27]1","PF-06469764","Cn1cc(Nc2nn(C(=O)OC(C)(C)C)c3c2CN(C(=O)OC(C)(C)C)C3(C)C)cn1",86,225,152950.6,"10","t-AmOH",90,18,NA,"","","MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN","",0.1,"MFCD12545956","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",NA,NA,"BrettPhos Palladacycle",1,"AXL022633","c12c(CN(C2(C)C)C(OC(C)(C)C)=O)c(nn1C(OC(C)(C)C)=O)Br",2,"AXL032292","c1c(cn(C)n1)N",NA,NA,NA,3,"MFCD00064808","KOPnt",NA,"","","Pd coupling","CC(C)(C)OC(=O)N1Cc2c(Br)nn(C(=O)OC(C)(C)C)c2C1(C)C","Cn1cc(N)cn1","CC(C)(C)OC(=O)N1Cc2c(Br)nn(C(=O)OC(C)(C)C)c2C1(C)C","Cn1cc(N)cn1","c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN",""
"63","85__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769482","BUCHWALD","Metal Mediated","Br[c:1]1[cH:10][c:9]([c:4]2[cH:3][cH:2]1)[cH:8][cH:7][cH:6][n:5]2.[O:11]=[C:12]1[c:31]([c:15]2[CH2:14][NH:13]1)[cH:30][cH:29][cH:28][c:16]2[O:17][CH2:18][CH2:19][CH2:20][CH2:21][N:22]3[CH2:27][CH2:26][NH:25][CH2:24][CH2:23]3>>[O:11]=[C:12]1[c:31]([c:15]2[CH2:14][NH:13]1)[cH:30][cH:29][cH:28][c:16]2[O:17][CH2:18][CH2:19][CH2:20][CH2:21][N:22]3[CH2:27][CH2:26][N:25]([c:1]4[cH:10][c:9]([c:4]5[cH:3][cH:2]4)[cH:8][cH:7][cH:6][n:5]5)[CH2:24][CH2:23]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",85,225,111417.361653844,"","Dioxane",110,18,NA,"","","MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O","",0.125,"MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",NA,NA,"3G OMs BrettPhos",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",""
"64","85__PF-06828598__MFCD00024023__","SCRN_98","00119131-2440","RKB-03769483","BUCHWALD","Metal Mediated","[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][NH:15][CH2:14][CH2:13]3.Br[c:22]1[cH:31][c:30]([c:25]2[cH:24][cH:23]1)[cH:29][cH:28][cH:27][n:26]2>>[O:1]=[C:2]1[c:21]([c:5]2[CH2:4][NH:3]1)[cH:20][cH:19][cH:18][c:6]2[O:7][CH2:8][CH2:9][CH2:10][CH2:11][N:12]3[CH2:17][CH2:16][N:15]([c:22]4[cH:31][c:30]([c:25]5[cH:24][cH:23]4)[cH:29][cH:28][cH:27][n:26]5)[CH2:14][CH2:13]3","PF-07013203","O=C1NCc2c(OCCCCN3CCN(CC3)c4ccc5ncccc5c4)cccc12",85,225,136352.200724895,"","Toluene",110,18,NA,"","","MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O","",0.125,"MFCD22572666","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",NA,NA,"3G OMs BrettPhos",1,"PF-06828598","C1CN(CCN1)CCCCOc1cccc2c1CNC2=O",NA,"MFCD00024023","c12c(ccc(c1)Br)nccc2",NA,NA,NA,3,"MFCD00010957","Cs2CO3",NA,"","","Pd coupling","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","Brc1ccc2ncccc2c1","Brc1ccc2ncccc2c1","O=C1NCc2c(OCCCCN3CCNCC3)cccc21","c1(c(c(ccc1OC)OC)P(C1CCCCC1)C1CCCCC1)c1c(cc(cc1C(C)C)C(C)C)C(C)C.c1(ccccc1c1ccccc1N)[Pd+].[O-]S(C)(=O)=O",""
